"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"1082725859855863808","","","2019-01-08 19:48:55 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Released a completely rebuilt version of https://t.co/CXesYSa9sV about 6 months ago. It is much faster, easier to use, and fixes many issues reported in the feedback.","","","","http://cueflash.com"
"1054436691879043074","1052777866784645120","32178047","2018-10-22 18:17:52 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@slb79 The algorithm doesn't know the race of the photos or yours. It is in effect a blind study that shows if you like black movies, you will like movies that feature blacks. Just like being a nerd makes me more likely to click on a movie with a spaceship.","","","",""
"1052303284520804352","","","2018-10-16 21:00:28 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","https://t.co/ySjsuezmu4","","","","https://medium.com/@robkohr/become-a-telemarketing-speed-bump-76fb51480c23"
"1042080335176056832","1041930878329466880","35586563","2018-09-18 15:58:07 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@jemelehill @chadthebad Yeah it was so wrong. He should simply have been demonized for the beating the snot out of Zimmerman and causing lacerations to the back of his had as he hit the pavement before being shot by the man he was assaulting.","","","",""
"1042053058245681152","1041948799961157632","1282443792","2018-09-18 14:09:44 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@SaraIsOOO @designmom Wow, or women can get their tubes cut too. The surgeons knife cuts both ways.","","","",""
"1042052209641443328","1041825030252879873","4831091091","2018-09-18 14:06:21 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@vmarieholt @MartyBevan1 @designmom @SeagalSuriyel She is not referring to rape. This is about consensual sex where she is claiming a woman who decides to have unprotected sex with a dude is totally not responsible for the outcome.","","","",""
"1042051495338881025","1042028989353799681","1033199346588807169","2018-09-18 14:03:31 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@scrvblette @Tallbearnc @mandapandaitis @designmom She wasn't referring to sexual assault. She is saying if a girl gets pregnant from consensual sex, the woman is totally not at fault, and the man should be castrated. 

Sorry you were assaulted, but that is not the topic of conversation.","","","",""
"1042049175742017537","1040363431893725184","14780086","2018-09-18 13:54:18 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@designmom 3rd wv feminism= We got all the rights and are empowered. Now, let's all find ways to be victims of our own decisions and position ourself as so weak against the male patriarchy that we need special rights. Any arguments against would be mansplaining.  I am woman, hear me whine.","","","",""
"1042047150786600961","1040363431893725184","14780086","2018-09-18 13:46:15 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@designmom Wow, so you want to cut off a dudes nuts when you both make a decision together to have sex one way or another. Nothing like painting yourself a victim to absolve yourself of the responsibilities of your decisions. If you chose to have unprotected sex thats on both.","","","",""
"1004423811373195264","","","2018-06-06 18:04:32 +0000","<a href=""https://www.google.com/"" rel=""nofollow"">Google</a>","SUPERHOT Speedrun: https://t.co/aafMpPIb6C via @YouTube","","","","http://youtu.be/jT9DfnzzLig?a"
